file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,co2_signal_strength_7500_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--
2021-12-03T100000_smart3-00551.ghg,2021-12-03,10:30,337.4374,1,36000,36000,-0.703410E-02,1,6.66479,0,14.9324,0,-0.565140,1,0.335218,0,0.119019E-02,1,-9999,-9999,-9999,-9999,-9999,-0.787913E-10,-0.206877E-11,-0.385522E-12,18.5221,430.052,434.963,0.00000,0,486.321,11.2916,11.4205,0.00000,0,0.906276E-01,2.10529,2.12934,-0.150000,0,288.502,285.023,102061.,1.24216,1011.52,0.232183E-01,0.217221E-01,0.876350E-02,1152.73,1386.65,0.705504E-02,83.1309,233.916,282.219,0.469306,1.48688,0.105286,1.56274,0.213857E-12,-0.425392E-14,1.56274,2.50679,117.189,72.4827,3.86312,-9999,0.752515E-01,0.139289,-5.65987,-0.374655,0.446330,-0.704883E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.694441E-02,1.01292,7.28654,1.02455,12.5438,1.14484,-0.920676,1.14484,0.281595,1.14484,-0.164222E-02,1.19065,800000009,800000009,800000009,800000009,800001009,800001109,899999999,899999999,89999,89999,89,89,1,6,0,30,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.716633E-01,0.195214,0.117002E-01,0.136100E-01,0.146655E-02,29.8039,0.175980E-07,0.579920E-02,-0.920676E-03,0.281595,-0.164222E-05,284.007,102262.,88.0249,58.1788
2021-12-03T103000_smart3-00551.ghg,2021-12-03,11:00,337.4582,1,36000,36000,-0.116092E-01,1,5.85018,1,14.9058,1,0.724804E-01,1,0.334706,1,-0.235158E-03,1,0.432615,-0.827189E-01,0.220156,-0.185743E-02,0.766487E-04,-0.297506E-10,-0.771858E-12,-0.144348E-12,18.6698,433.955,438.896,0.150000,0,484.375,11.2586,11.3868,0.150000,0,0.905851E-01,2.10673,2.13072,0.500000E-01,0,288.587,285.287,102044.,1.24083,1011.51,0.232436E-01,0.216889E-01,0.872845E-02,1149.18,1410.94,0.703438E-02,81.4480,261.758,282.173,-0.768742,1.02411,0.605372E-01,1.28196,-0.623583E-13,-0.159351E-14,1.28196,2.37803,62.0344,126.894,2.70665,-9999,0.967264E-01,0.158148,-13.6919,-0.154873,0.392476,-0.481885E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.114593E-01,1.01308,6.49954,1.02315,12.5902,1.14259,-0.330675,1.14259,0.282710,1.14259,-0.262410E-02,1.18927,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,14,5,6,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.105598,0.200785,0.991426E-02,0.153740E-01,0.941759E-02,38.7530,0.162834E-07,0.517847E-02,-0.330675E-03,0.282710,-0.262410E-05,284.353,102246.,88.1820,57.9166
2021-12-03T110000_smart3-00551.ghg,2021-12-03,11:30,337.4790,1,36000,36000,-0.583251E-02,0,4.86075,0,17.4967,0,-0.229460E-01,0,0.392988,0,0.156970E-03,0,0.455209,-0.774949E-01,-0.204821,-0.174059E-02,-0.807940E-03,-0.375068E-10,-0.978617E-12,-0.182249E-12,18.4855,430.318,435.204,0.200000,0,482.318,11.2277,11.3552,0.200000,0,0.898226E-01,2.09155,2.11530,0.150000,0,288.584,285.564,101989.,1.23897,1011.50,0.232787E-01,0.254656E-01,0.869137E-02,1145.42,1436.95,0.701499E-02,79.7119,291.530,282.125,-1.23854,0.584383,0.357003E-01,1.36995,-0.411687E-13,-0.202899E-14,1.36995,2.41436,34.5321,154.741,1.49327,-9999,0.686115E-01,0.608845E-01,-5.87920,-0.360678,0.277809,-0.565301E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.575780E-02,1.01298,5.66565,1.02354,14.8778,1.14321,-0.387646,1.14321,0.334166,1.14321,-0.216265E-02,1.18962,800000009,800000009,800000009,800000009,800000009,800010109,899999999,899999999,89999,89999,89,89,5,3,1,46,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.736339E-01,0.391539E-01,0.898124E-02,0.165025E-01,0.908483E-02,57.6416,0.338097E-06,0.452089E-02,-0.387646E-03,0.334166,-0.216265E-05,284.621,102196.,88.2610,58.1014
2021-12-03T113000_smart3-00551.ghg,2021-12-03,12:00,337.4999,1,36000,36000,0.114056E-01,0,17.7141,0,52.7821,0,1.70765,2,1.18615,0,0.915984E-02,2,0.900340,0.202323,-0.411959,0.454672E-02,-0.214466E-02,0.328515E-09,0.878294E-11,0.159255E-11,18.1259,422.986,427.824,0.00000,1,484.602,11.3087,11.4380,0.300000,0,0.878698E-01,2.05115,2.07461,0.00000,1,288.682,286.115,101935.,1.23589,1011.55,0.233359E-01,0.768624E-01,0.873253E-02,1153.06,1489.75,0.706577E-02,77.3995,336.692,282.223,-0.380402,0.321876,0.145865E-01,0.498521,0.174879E-12,0.181240E-13,0.498521,1.44481,48.4607,139.764,1.67669,-9999,0.960658E-01,0.123581,-4.42654,-0.479043,0.335607,-0.147496,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.111859E-01,1.01964,20.0635,1.02412,44.6749,1.14420,0.269340,1.14420,1.00396,1.14420,0.112551E-03,1.19362,800000009,800000009,800000009,800000009,800000009,800010109,899999999,899999999,89999,89999,89,89,4,10,0,61,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.113889,0.116740,0.165333E-01,0.421627E-01,0.990650E-02,177.856,0.210301E-06,0.160486E-01,0.269340E-03,1.00396,0.112551E-06,285.298,102140.,88.3948,58.9748
2021-12-03T120000_smart3-00551.ghg,2021-12-03,12:30,337.5207,1,36000,36000,-0.634478E-02,1,19.4358,0,53.5529,0,2.93533,2,1.20361,0,0.674342E-02,2,0.197125,0.502358E-01,0.339884,0.112906E-02,0.309427E-03,-0.181871E-09,-0.480229E-11,-0.871956E-12,18.3698,429.040,433.956,0.00000,1,485.053,11.3288,11.4586,0.100000,0,0.880714E-01,2.05699,2.08056,0.250000,0,288.824,286.235,101892.,1.23484,1011.57,0.233557E-01,0.779938E-01,0.874065E-02,1154.62,1501.55,0.707839E-02,76.8952,346.930,282.243,-0.536328,-0.484451,-0.151652E-01,0.722890,-0.895461E-13,-0.990056E-14,0.722890,2.44373,326.990,222.091,-1.20207,-9999,0.716809E-01,0.210890,-1.67554,-1.26556,0.362927,-0.217067,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.624551E-02,1.01589,21.8250,1.02243,45.3515,1.14159,1.24411,1.14159,1.01928,1.14159,-0.243356E-02,1.19009,800000009,800000009,800000009,800000009,800000009,800000109,899999999,899999999,89999,89999,89,89,10,0,0,29,6,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.199703,0.195812,0.262648E-01,0.496311E-01,0.427102E-01,177.015,0.269919E-06,0.174723E-01,0.124411E-02,1.01928,-0.243356E-05,285.500,102089.,88.4417,58.4771
2021-12-03T123000_smart3-00551.ghg,2021-12-03,13:00,337.5415,1,36000,36000,-0.157621E-01,1,22.1567,0,69.0729,0,-2.20358,0,1.55267,0,-0.991458E-03,1,0.265109,0.556035,-0.193732E-01,0.124989E-01,0.743536E-03,0.617090E-10,0.166281E-11,0.298159E-12,18.3371,428.695,433.705,0.00000,0,494.112,11.5516,11.6866,0.00000,0,0.885991E-01,2.07102,2.09522,0.150000,0,289.105,286.398,101850.,1.23353,1011.69,0.233786E-01,0.100613,0.890391E-02,1176.85,1517.56,0.721825E-02,77.5490,340.707,282.526,-0.366159,-1.03908,-0.273539E-01,1.10204,-0.482120E-13,0.336526E-14,1.10204,2.97297,302.588,250.588,-1.42229,-9999,0.113040,0.401789,-5.76275,-0.367967,0.320773,-0.157063,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.155523E-01,1.01349,25.3034,1.02252,58.6117,1.14162,-3.50913,1.14162,1.31751,1.14162,-0.105968E-01,1.18886,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,9,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.452901,0.315742,0.349336E-01,0.549204E-01,0.348328E-01,272.838,0.217173E-06,0.202759E-01,-0.350913E-02,1.31751,-0.105968E-04,285.541,102040.,88.3630,57.9912
2021-12-03T130000_smart3-00551.ghg,2021-12-03,13:30,337.5624,1,36000,36000,-0.470258E-01,0,31.8571,0,89.6341,0,-3.07389,0,2.01478,0,-0.368454E-02,0,-0.588230E-01,0.563813,-0.180279,0.126733E-01,-0.212460E-03,-0.922902E-10,-0.255468E-11,-0.448540E-12,18.1956,425.480,430.550,-0.500000E-01,0,503.670,11.7777,11.9180,-0.500000E-01,0,0.884324E-01,2.06701,2.09164,0.100000,0,289.338,286.362,101815.,1.23315,1011.82,0.233837E-01,0.130558,0.907613E-02,1199.46,1513.99,0.736012E-02,79.2252,314.529,282.809,-0.457984,-1.66784,-0.375992E-01,1.72999,0.548453E-13,-0.507213E-14,1.72999,4.08174,297.096,254.645,-1.24535,-9999,0.195281,0.310889,-20.6595,-0.102640,0.355413,-0.130746,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.464221E-01,1.01300,35.7650,1.02554,75.5177,1.14649,-4.84403,1.14649,1.69748,1.14649,-0.165241E-01,1.19180,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.324717,0.249514,0.475474E-01,0.700871E-01,0.835150E-02,279.751,0.198936E-06,0.286642E-01,-0.484403E-02,1.69748,-0.165241E-04,285.470,102000.,88.2398,56.2275
2021-12-03T133000_smart3-00551.ghg,2021-12-03,14:00,337.5832,1,36000,36000,-0.673006E-01,0,31.0401,0,84.5454,0,-2.87011,0,1.89990,0,0.344631E-02,0,-0.447675,-0.235355,-0.103658,-0.528890E-02,-0.520384E-03,-0.846157E-10,-0.233363E-11,-0.411246E-12,18.1317,423.632,428.640,-0.500000E-01,0,500.057,11.6834,11.8215,-0.500000E-01,0,0.881231E-01,2.05719,2.08151,0.100000,0,289.383,286.088,101803.,1.23423,1011.76,0.233642E-01,0.123114,0.901103E-02,1189.72,1487.12,0.730096E-02,80.0018,297.397,282.688,-0.953304E-01,-2.48296,-0.411249E-01,2.48513,0.553009E-13,-0.466673E-14,2.48513,4.40967,281.484,267.801,-0.948196,-9999,0.233514,0.313438,-36.2505,-0.584958E-01,0.367141,-0.106448,0,31.4188,-4.76792,10.7851,26.8563,40.9576,57.4436,86.0609,-0.663467E-01,1.01438,34.5085,1.03090,70.6236,1.15576,-4.54292,1.15576,1.58705,1.15576,-0.992103E-02,1.19888,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,18,1,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.337705,0.217832,0.713380E-01,0.501644E-01,0.755410E-02,192.275,0.208228E-06,0.276347E-01,-0.454292E-02,1.58705,-0.992103E-05,285.206,102007.,88.1608,54.7998
not_enough_data,2021-12-03,14:30,337.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-03T143000_smart3-00551.ghg,2021-12-03,15:00,337.6249,1,36000,36000,-0.554871E-01,0,27.0571,0,85.0053,0,-3.92187,0,1.90975,0,-0.409176E-02,0,-9999,-9999,-9999,-9999,-9999,-0.414263E-10,-0.115527E-11,-0.201286E-12,17.8802,417.272,422.185,0.00000,0,498.632,11.6366,11.7736,0.00000,0,0.868783E-01,2.02568,2.04953,0.150000,0,289.208,285.820,101825.,1.23568,1011.73,0.233370E-01,0.123752,0.898535E-02,1185.22,1461.27,0.727158E-02,81.1090,276.048,282.632,-0.571102,-1.97273,-0.342647E-02,2.05374,0.104103E-12,-0.231687E-14,2.05374,4.09655,295.754,253.854,-0.955925E-01,-9999,0.211906,0.313751,-31.0822,-0.682223E-01,0.318299,-0.102133,0,30.7833,-4.67148,10.5669,26.3131,40.1291,56.2816,84.3201,-0.547514E-01,1.01344,30.7666,1.02770,71.5857,1.15016,-5.27995,1.15016,1.60826,1.15016,-0.150787E-01,1.19451,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,20,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.327192,0.238484,0.618257E-01,0.537246E-01,0.519680E-01,241.909,0.963121E-07,0.246098E-01,-0.527995E-02,1.60826,-0.150787E-04,284.933,102029.,90.5106,56.6557
2021-12-03T150000_smart3-00551.ghg,2021-12-03,15:30,337.6457,1,36000,36000,-0.489380E-01,0,14.5340,0,57.3267,0,-1.21773,0,1.28776,0,-0.557249E-03,0,-0.200277,0.123862,-0.186828,0.278238E-02,-0.450980E-03,-0.321655E-10,-0.908061E-12,-0.156897E-12,17.7456,413.948,418.842,0.00000,0,500.972,11.6861,11.8243,0.00000,0,0.865591E-01,2.01719,2.04105,0.200000,0,289.441,285.697,101826.,1.23620,1011.76,0.233268E-01,0.834469E-01,0.902752E-02,1190.27,1449.58,0.730265E-02,82.1115,259.309,282.695,-0.479484,-1.80958,-0.186192E-01,1.87212,0.100443E-12,-0.181260E-14,1.87212,3.86421,294.215,255.159,-0.569845,-9999,0.198966,0.286736,-47.8984,-0.442708E-01,0.253530,-0.584040E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.483024E-01,1.01316,17.1591,1.02646,48.5608,1.14804,-2.15383,1.14804,1.09085,1.14804,-0.735080E-02,1.19292,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,7,2,3,15,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.266777,0.255945,0.507507E-01,0.232323E-01,0.617820E-03,143.685,0.467723E-07,0.137193E-01,-0.215383E-02,1.09085,-0.735080E-05,284.854,102032.,90.5165,56.1206
2021-12-03T153000_smart3-00551.ghg,2021-12-03,16:00,337.6665,1,36000,36000,-0.457915E-01,0,5.78659,0,41.7244,0,-0.363008E-01,0,0.937113,0,-0.193986E-02,0,-0.301912,-0.325765,0.184587E-01,-0.731654E-02,0.106832E-03,0.172477E-09,0.481116E-11,0.841551E-12,17.7736,414.276,419.119,0.00000,0,495.787,11.5560,11.6911,0.00000,0,0.867213E-01,2.01920,2.04281,0.400000,0,289.438,285.513,101841.,1.23723,1011.68,0.233085E-01,0.607250E-01,0.893407E-02,1177.19,1432.13,0.722101E-02,82.1984,254.942,282.530,-0.253874,-1.61142,-0.161203E-01,1.63138,0.116071E-13,0.970409E-14,1.63138,3.85685,289.225,261.047,-0.566171,-9999,0.192383,0.275290,-108.763,-0.194966E-01,0.138686,-0.240304E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.452066E-01,1.01294,7.83183,1.02494,35.6918,1.14549,-0.621905,1.14549,0.801623,1.14549,-0.542241E-02,1.19110,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,11,2,2,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.305352,0.205248,0.399799E-01,0.561780E-02,0.329917E-03,104.061,0.964248E-07,0.625703E-02,-0.621905E-03,0.801623,-0.542241E-05,284.702,102047.,90.5168,56.6334
2021-12-03T160000_smart3-00551.ghg,2021-12-03,16:30,337.6873,1,36000,36000,-0.420752E-01,0,0.332191E-02,0,41.5742,0,0.269557,2,0.933609,0,-0.430901E-02,1,-0.235910,-0.294004E-01,0.355619E-01,-0.660228E-03,0.316027E-03,-0.151705E-10,-0.422101E-12,-0.741231E-13,17.8126,414.908,419.754,0.200000,0,495.615,11.5443,11.6791,0.00000,0,0.870326E-01,2.02515,2.04880,0.350000,0,289.447,285.369,101858.,1.23807,1011.67,0.232929E-01,0.604979E-01,0.893098E-02,1176.19,1418.64,0.721365E-02,82.9098,242.447,282.518,-0.657885,-1.68474,-0.149221E-01,1.80870,-0.444882E-13,-0.851671E-15,1.80870,3.73053,300.419,248.670,-0.472706,-9999,0.184349,0.241843,-166719.,-0.127190E-04,0.799033E-04,-0.143868E-04,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.415319E-01,1.01308,2.17577,1.02604,35.8170,1.14733,-0.102885,1.14733,0.804323,1.14733,-0.591962E-02,1.19240,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,7,1,1,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.221437,0.213390,0.488599E-01,0.171539E-02,0.385385E-03,81.3587,0.744316E-06,0.173712E-02,-0.102885E-03,0.804323,-0.591962E-05,284.567,102065.,90.5156,55.3072
2021-12-03T163000_smart3-00551.ghg,2021-12-03,17:00,337.7082,1,36000,36000,-0.347548E-01,0,-4.99908,0,27.6982,0,0.958525,0,0.621972,0,-0.140960E-02,0,-0.863969E-01,-0.203244,0.178676E-01,-0.456392E-02,-0.467344E-03,0.490927E-10,0.135532E-11,0.238612E-12,17.8335,415.225,420.040,0.500000E-01,0,492.335,11.4633,11.5962,0.500000E-01,0,0.866787E-01,2.01636,2.03974,0.700000,0,289.489,285.316,101880.,1.23861,1011.62,0.232834E-01,0.403038E-01,0.887189E-02,1168.19,1413.73,0.716278E-02,82.6322,245.533,282.416,-1.22863,-1.45981,-0.328554E-01,1.90831,-0.151426E-13,0.275284E-14,1.90831,4.15581,319.498,229.915,-0.986512,-9999,0.167510,0.210772,83.1273,0.255091E-01,-0.180484,0.238175E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.342912E-01,1.01352,-3.45280,1.02950,23.4236,1.18202,0.803360,1.18202,0.525984,1.18202,-0.137039E-02,1.24331,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,11,6,2,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.227794,0.150248,0.435016E-01,0.169220E-02,0.797392E-03,50.9827,0.619135E-07,-0.275562E-02,0.803360E-03,0.525984,-0.137039E-05,284.509,102085.,90.5170,55.0483
2021-12-03T170000_smart3-00551.ghg,2021-12-03,17:30,337.7290,1,36000,36000,-0.119780E-01,0,-3.27504,0,17.9274,0,1.38387,0,0.402569,0,-0.131578E-02,0,0.108519E-01,0.247023,0.918157E-01,0.554703E-02,0.138742E-03,0.369595E-11,0.102509E-12,0.179143E-13,17.9047,416.855,421.731,0.500000E-01,0,496.600,11.5618,11.6970,0.500000E-01,0,0.867844E-01,2.01897,2.04259,0.850000,0,289.502,285.323,101889.,1.23865,1011.68,0.232819E-01,0.260865E-01,0.894872E-02,1178.34,1414.34,0.722460E-02,83.3135,236.004,282.545,-0.766064,-0.782316,-0.679187E-02,1.09495,0.184238E-13,0.206423E-15,1.09495,2.34548,323.048,225.601,-0.355402,-9999,0.983374E-01,0.751235E-01,25.6737,0.825942E-01,-0.182683,0.265771E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.118174E-01,1.01359,-2.29292,1.02764,14.9314,1.20034,1.14971,1.20034,0.335292,1.20034,-0.117307E-02,1.27416,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,4,11,0,24,10,6,3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.703439E-01,0.618083E-01,0.180947E-01,0.195313E-02,0.890145E-03,48.3235,0.543912E-07,-0.182978E-02,0.114971E-02,0.335292,-0.117307E-05,284.584,102097.,90.5139,53.6172
2021-12-03T173000_smart3-00551.ghg,2021-12-03,18:00,337.7498,0,36000,36000,-0.123954E-01,0,-4.22487,0,13.7442,0,1.77356,0,0.308650,0,0.223760E-02,0,0.101569,-0.526979E-01,-0.121185E-01,-0.118343E-02,-0.233933E-03,-0.713087E-10,-0.197522E-11,-0.345013E-12,17.8932,416.640,421.505,0.150000,0,495.633,11.5407,11.6755,0.150000,0,0.865726E-01,2.01457,2.03809,-0.500000E-01,0,289.546,285.385,101899.,1.23850,1011.67,0.232848E-01,0.200006E-01,0.893131E-02,1176.30,1420.12,0.721141E-02,82.8310,243.821,282.519,-0.765921,-0.457009,-0.196147E-01,0.892119,0.145199E-12,-0.398524E-14,0.892119,2.63837,342.034,210.824,-1.25985,-9999,0.100042,0.140177,20.9562,0.101187,-0.307393,0.337051E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.122201E-01,1.01435,-3.43123,1.02858,11.3948,1.21514,1.52769,1.21514,0.255892,1.21514,0.202667E-02,1.29562,800000009,800000009,800000009,800000009,800000009,810000009,899999999,899999999,89999,89999,89,89,4,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,93,0.113224,0.151898,0.152324E-01,0.394447E-02,0.261604E-02,40.7576,0.584261E-07,-0.273853E-02,0.152769E-02,0.255892,0.202667E-05,284.672,102108.,90.5119,54.5685
